Artist	Song Title	Group / Solo Artists	Year	Ranking	Hits by Artist Since 1960	One Hit Wonder?	Uniqueness/Variety of Lyrics
Jackson 5	Dancing Machine	Group	1974	5			
Grand Funk Railroad	The Loco-Motion	Group	1974	6			
MFSB	TSOP	Group	1974	7			
Ray Stevens	The Streak	Solo	1974	8			
Elton John	Bennie And The Jets	Solo	1974	9			
Mac Davis	One Hell Of A Woman	Solo	1974	10			
Captain and Tennille	Love Will Keep Us Together	Group	1975	1			
Glen Campbell	Rhinestone Cowboy	Solo	1975	2			
Elton John	Philadelphia Freedom	Solo	1975	3			
Freddy Fender	Before The Next Teardrop Falls	Solo	1975	4			
Frankie Valli	My Eyes Adored You	Group	1975	5			
Earth, Wind and Fire	Shining Star	Group	1975	6			
David Bowie	Fame	Solo	1975	7			
Neil Sedaka	Laughter In The Rain	Solo	1975	8			
Eagles	One Of These Nights	Group	1975	9			
John Denver	Thank God I’m A Country Boy	Solo	1975	10			
Wings	Silly Love Songs	Group	1976	1			
Elton John and Kiki Dee	Don’t Go Breaking My Heart	Group	1976	2			
Johnnie Taylor	Disco Lady	Solo	1976	3			
Four Seasons	December, 1963 (Oh, What A Night)	Group	1976	4			
Wild Cherry	Play That Funky Music	Group	1976	5			
Manhattans	Kiss And Say Goodbye	Group	1976	6			
The Miracles	Love Machine (Part 1)	Group	1976	7			
Paul Simon	50 Ways To Leave Your Lover	Solo	1976	8			
Gary Wright	Love Is Alive	Solo	1976	9			
Walter Murphy and The Big Apple Band	A Fifth Of Beethoven	Group	1976	10			
Rod Stewart	Tonight’s The Night (Gonna Be Alright)	Solo	1977	1			
Andy Gibb	I Just Want To Be Your Everything	Solo	1977	2			
Emotions	Best Of My Love	Group	1977	3			
Barbra Streisand	Love Theme From “A Star Is Born”	Solo	1977	4			
Hot	Angel In Your Arms	Group	1977	5			
Kenny Nolan	I Like Dreamin’	Solo	1977	6			
Thelma Houston	Don’t Leave Me This Way	Solo	1977	7			
Rita Coolidge	(Your Love Has Lifted Me) Higher And Higher	Solo	1977	8			
Alan O’Day	Undercover Angel	Solo	1977	9			
