Ranking	Artist	Song Title	Year	Group / Solos	
9	Temptations	Just My Imagination (Running Away With Me)	1971	Group	
10	Dawn	Knock Three Times	1971	Group	
1	Roberta Flack	The First Time Ever I Saw Your Face	1972	Solo	
2	Gilbert O’Sullivan	Alone Again (Naturally)	1972	Solo	
3	Don McLean	American Pie	1972	Solo	
4	Nilsson	Without You	1972	Solo	
5	Sammy Davis Jr.	Candy Man	1972	Solo	
6	Joe Tex	I Gotcha	1972	Solo	
7	Bill Withers	Lean On Me	1972	Solo	
8	Mac Davis	Baby Don’t Get Hooked On Me	1972	Solo	
9	Melanie	Brand New Key	1972	Solo	
10	Wayne Newton	Daddy Dont You Walk So Fast	1972	Solo	
1	Tony Orlando and Dawn	Tie A Yellow Ribbon ‘Round The Ole Oak Tree	1973	Group	
2	Jim Croce	Bad Bad Leroy Brown	1973	Solo	
3	Roberta Flack	Killing Me Softly With His Song	1973	Solo	
4	Marvin Gaye	Let’s Get It On	1973	Solo	
5	Paul McCartney and Wings	My Love	1973	Group	
6	Kris Kristofferson	Why Me	1973	Solo	
7	Elton John	Crocodile Rock	1973	Solo	
8	Billy Preston	Will It Go Round In Circles	1973	Solo	
9	Carly Simon	You’re So Vain	1973	Solo	
10	Diana Ross	Touch Me In The Morning	1973	Solo	
1	Barbra Streisand	The Way We Were	1974	Solo	
2	Terry Jacks	Seasons In The Sun	1974	Solo	
3	Love Unlimited Orchestra	Love’s Theme	1974	Group	
4	Redbone	Come And Get Your Love	1974	Group	
5	Jackson 5	Dancing Machine	1974	Group	
6	Grand Funk Railroad	The Loco-Motion	1974	Group	
7	MFSB	TSOP	1974	Group	
8	Ray Stevens	The Streak	1974	Solo	
9	Elton John	Bennie And The Jets	1974	Solo	
10	Mac Davis	One Hell Of A Woman	1974	Solo	
1	Captain and Tennille	Love Will Keep Us Together	1975	Group	
2	Glen Campbell	Rhinestone Cowboy	1975	Solo	
3	Elton John	Philadelphia Freedom	1975	Solo	
4	Freddy Fender	Before The Next Teardrop Falls	1975	Solo	
5	Frankie Valli	My Eyes Adored You	1975	Group	
6	Earth, Wind and Fire	Shining Star	1975	Group	
7	David Bowie	Fame	1975	Solo	
8	Neil Sedaka	Laughter In The Rain	1975	Solo	
9	Eagles	One Of These Nights	1975	Group	
10	John Denver	Thank God I’m A Country Boy	1975	Solo	
1	Wings	Silly Love Songs	1976	Group	
2	Elton John	Don’t Go Breaking My Heart	1976	Group	
3	Johnnie Taylor	Disco Lady	1976	Solo	
4	Four Seasons	December, 1963 (Oh, What A Night)	1976	Group	
5	Wild Cherry	Play That Funky Music	1976	Group	
6	Manhattans	Kiss And Say Goodbye	1976	Group	
7	The Miracles	Love Machine (Part 1)	1976	Group	
8	Paul Simon	50 Ways To Leave Your Lover	1976	Solo	
9	Gary Wright	Love Is Alive	1976	Solo	
10	Walter Murphy and The Big Apple Band	A Fifth Of Beethoven	1976	Group	
1	Rod Stewart	Tonight’s The Night (Gonna Be Alright)	1977	Solo	
2	Andy Gibb	I Just Want To Be Your Everything	1977	Solo	
3	Emotions	Best Of My Love	1977	Group	
4	Barbra Streisand	Love Theme From “A Star Is Born”	1977	Solo	
5	Hot	Angel In Your Arms	1977	Group	
6	Kenny Nolan	I Like Dreamin’	1977	Solo	
7	Thelma Houston	Don’t Leave Me This Way	1977	Solo	
8	Rita Coolidge	(Your Love Has Lifted Me) Higher And Higher	1977	Solo	
9	Alan O’Day	Undercover Angel	1977	Solo	
10	Mary MacGregor	Torn Between Two Lovers	1977	Solo	
1	Andy Gibb	Shadow Dancing	1978	Solo	
2	Bee Gees	Night Fever	1978	Group	
3	Debby Boone	You Light Up My Life	1978	Solo	
4	Bee Gees	Stayin’ Alive	1978	Group	
5	Exile	Kiss You All Over	1978	Group	
6	Bee Gees	How Deep Is Your Love	1978	Group	
7	Player	Baby Come Back	1978	Group	
8	Andy Gibb	(Love Is) Thicker Than Water	1978	Solo	
9	A Taste Of Honey	Boogie Oogie Oogie	1978	Group	
10	Commodores	Three Times A Lady	1978	Group	
1	Knack	My Sharona	1979	Group	
2	Donna Summer	Bad Girls	1979	Solo	
3	Chic	Le Freak	1979	Group	
4	Rod Stewart	Da Ya Think I’m Sexy	1979	Solo	
5	Peaches and Herb	Reunited	1979	Group	
6	Gloria Gaynor	I Will Survive	1979	Solo	
7	Donna Summer	Hot Stuff	1979	Solo	
8	Village People	Y.M.C.A.	1979	Group	
9	Anita Ward	Ring My Bell	1979	Solo	
10	Robert John	Sad Eyes	1979	Solo	
1	Blondie	Call Me	1980	Group	
2	Pink Floyd	Another Brick In The Wall	1980	Group	
3	Olivia Newton-John	Magic	1980	Solo	
4	Michael Jackson	Rock With You	1980	Solo	
5	Captain and Tennille	Do That To Me One More Time	1980	Group	
6	Queen	Crazy Little Thing Called Love	1980	Group	
7	Paul McCartney	Coming Up	1980	Solo	
8	Lipps, Inc.	Funkytown	1980	Group	
9	Billy Joel	It’s Still Rock And Roll To Me	1980	Solo	
10	Bette Midler	The Rose	1980	Solo	
1	Kim Carnes	Bette Davis Eyes	1981	Solo	
2	Diana Ross and Lionel Richie	Endless Love	1981	Group	
3	Kenny Rogers	Lady	1981	Solo	
4	John Lennon	(Just Like) Starting Over	1981	Solo	
5	Rick Springfield	Jessie’s Girl	1981	Solo	
6	Kool and The Gang	Celebration	1981	Group	
7	Daryl Hall and John Oates	Kiss On My List	1981	Group	
8	Eddie Rabbitt	I Love A Rainy Night	1981	Solo	
9	Dolly Parton	9 To 5	1981	Solo	
10	REO Speedwagon	Keep On Loving You	1981	Group	
1	Olivia Newton-John	Physical	1982	Solo	
2	Survivor	Eye Of The Tiger	1982	Group	
3	Joan Jett and The Blackhearts	I Love Rock N’ Roll	1982	Group	
4	Paul McCartney and Stevie Wonder	Ebony And Ivory	1982	Group	
5	J. Geils Band	Centerfold	1982	Group	
6	Human League	Don’t You Want Me	1982	Group	
7	John Cougar	Jack And Diane	1982	Solo	
8	John Cougar	Hurts So Good	1982	Solo	
9	Steve Miller Band	Abracadabra	1982	Group	
10	Chicago	Hard To Say I’m Sorry	1982	Group	
1	Police	Every Breath You Take	1983	Group	
2	Michael Jackson	Billie Jean	1983	Solo	
3	Irene Cara	Flashdance… What A Feeling	1983	Solo	
4	Men At Work	Down Under	1983	Group	
5	Michael Jackson	Beat It	1983	Solo	
6	Bonnie Tyler	Total Eclipse Of The Heart	1983	Solo	
7	Daryl Hall and John Oates	Maneater	1983	Group	
8	Patti Austin and James Ingram	Baby Come To Me	1983	Group	
9	Michael Sembello	Maniac	1983	Solo	
10	Eurythmics	Sweet Dreams (Are Made Of This)	1983	Group	
1	Prince	When Doves Cry	1984	Solo	
2	Tina Turner	What’s Love Got To Do With It	1984	Group	
3	Paul McCartney and Michael Jackson	Say Say Say	1984	Group	
4	Kenny Loggins	Footloose	1984	Solo	
5	Phil Collins	Against All Odds (Take A Look At Me Now)	1984	Solo	
6	Van Halen	Jump	1984	Solo	
7	Lionel Richie	Hello	1984	Solo	
8	Yes	Owner Of A Lonely Heart	1984	Group	
9	Ray Parker Jr.	Ghostbusters	1984	Solo	
10	Culture Club	Karma Chameleon	1984	Group	
1	Wham!	Careless Whisper	1985	Group	
2	Madonna	Like A Virgin	1985	Solo	
3	Wham!	Wake Me Up Before You Go-Go	1985	Group	
4	Foreigner	I Want To Know What Love Is	1985	Group	
5	Chaka Khan	I Feel For You	1985	Solo	
6	Daryl Hall and John Oates	Out Of Touch	1985	Group	
7	Tears For Fears	Everybody Wants To Rule The World	1985	Group	
8	Dire Straits	Money For Nothing	1985	Group	
9	Madonna	Crazy For You	1985	Solo	
10	A-Ha	Take On Me	1985	Group	
1	Dionne and Friends	That’s What Friends Are For	1986	Group	
2	Lionel Richie	Say You, Say Me	1986	Solo	
3	Klymaxx	I Miss You	1986	Group	
4	Patti Labelle and Michael McDonald	On My Own	1986	Group	
5	Mr. Mister	Broken Wings	1986	Group	
6	Whitney Houston	How Will I Know	1986	Solo	
7	Eddie Murphy	Party All The Time	1986	Solo	
8	Survivor	Burning Heart	1986	Group	
9	Mr. Mister	Kyrie	1986	Group	
10	Robert Palmer	Addicted To Love	1986	Solo	
1	Bangles	Walk Like An Egyptian	1987	Group	
2	Heart	Alone	1987	Group	
3	Gregory Abbott	Shake You Down	1987	Solo	
4	Whitney Houston	I Wanna Dance With Somebody (Who Loves Me)	1987	Solo	
5	Starship	Nothing’s Gonna Stop Us Now	1987	Group	
6	Robbie Nevil	C’est La Vie	1987	Solo	
7	Whitesnake	Here I Go Again	1987	Group	
8	Bruce Hornsby and The Range	The Way It Is	1987	Group	
9	Bob Seger	Shakedown	1987	Solo	
10	Bon Jovi	Livin’ On A Prayer	1987	Solo	
1	George Michael	Faith	1988	Solo	
2	INXS	Need You Tonight	1988	Group	
3	George Harrison	Got My Mind Set On You	1988	Solo	
4	Rick Astley	Never Gonna Give You Up	1988	Solo	
5	Guns N’ Roses	Sweet Child O’ Mine	1988	Group	
6	Whitney Houston	So Emotional	1988	Solo	
7	Belinda Carlisle	Heaven Is A Place On Earth	1988	Solo	
8	Tiffany	Could’ve Been	1988	Solo	
9	Breathe	Hands To Heaven	1988	Group	
10	Steve Winwood	Roll With It	1988	Solo	
1	Chicago	Look Away	1989	Group	
2	Bobby Brown	My Prerogative	1989	Solo	
3	Poison	Every Rose Has Its Thorn	1989	Group	
4	Paula Abdul	Straight Up	1989	Solo	
5	Janet Jackson	Miss You Much	1989	Solo	
6	Paula Abdul	Cold Hearted	1989	Solo	
7	Bette Midler	Wind Beneath My Wings	1989	Solo	
8	Milli Vanilli	Girl You Know Its True	1989	Solo	
9	Will To Power	Baby, I Love Your Way-Freebird	1989	Group	
10	Anita Baker	Giving You The Best That I Got	1989	Solo	
1	Wilson Phillips	Hold On	1990	Solo	
2	Roxette	It Must Have Been Love	1990	Group	
3	Sinead O’Connor	Nothing Compares 2 U	1990	Solo	
4	Bell Biv Devoe	Poison	1990	Group	
5	Madonna	Vogue	1990	Solo	
6	Mariah Carey	Vision Of Love	1990	Solo	
7	Phil Collins	Another Day In Paradise	1990	Solo	
8	En Vogue	Hold On	1990	Group	
9	Billy Idol	Cradle Of Love	1990	Solo	
10	Jon Bon Jovi	Blaze Of Glory	1990	Solo	
1	Bryan Adams	(Everything I Do) I Do It For You	1991	Solo	
2	Color Me Badd	I Wanna Sex You Up	1991	Group	
3	C+C Music Factory	Gonna Make You Sweat	1991	Group	
4	Paula Abdul	Rush Rush	1991	Solo	
5	Timmy T	One More Try	1991	Solo	
6	EMF	Unbelievable	1991	Group	
7	Extreme	More Than Words	1991	Group	
8	Hi-Five	I Like The Way (The Kissing Game)	1991	Group	
9	Surface	The First Time	1991	Group	
10	Amy Grant	Baby, Baby	1991	Solo	
1	Boyz II Men	End Of The Road	1992	Group	
2	Sir Mix A-lot	Baby Got Back	1992	Solo	
3	Kris Kross	Jump	1992	Group	
4	Vanessa Williams	Save The Best For Last	1992	Solo	
5	TLC	Baby-Baby-Baby	1992	Group	
6	Eric Clapton	Tears In Heaven	1992	Solo	
7	En Vogue	My Lovin’ (You’re Never Gonna Get It)	1992	Group	
8	Red Hot Chili Peppers	Under The Bridge	1992	Group	
9	Color Me Badd	All 4 Love	1992	Group	
10	Jon Secada	Just Another Day	1992	Solo	
1	Whitney Houston	I Will Always Love You	1993	Solo	
2	Tag Team	Whoomp! (There It Is)	1993	Group	
3	UB40	Can’t Help Falling In Love	1993	Group	
4	Janet Jackson	That’s The Way Love Goes	1993	Solo	
5	Silk	Freak Me	1993	Group	
6	SWV	Weak	1993	Group	
7	Shai	If I Ever Fall In Love	1993	Group	
8	Mariah Carey	Dreamlover	1993	Solo	
9	Wreckx-N-Effect	Rump Shaker	1993	Group	
10	Snow	Informer	1993	Solo	
1	Ace Of Base	The Sign	1994	Group	
2	All-4-One	I Swear	1994	Group	
3	Boyz II Men	I’ll Make Love To You	1994	Group	
4	Celine Dion	The Power Of Love	1994	Solo	
5	Mariah Carey	Hero	1994	Solo	
6	Lisa Loeb and Nine Stories	Stay (I Missed You)	1994	Group	
7	Toni Braxton	Breathe Again	1994	Solo	
8	Bryan Adams	All For Love	1994	Group	
9	Ace Of Base	All That She Wants	1994	Group	
10	Ace Of Base	Don’t Turn Around	1994	Group	
1	Coolio	Gangsta’s Paradise	1995	Solo	
2	TLC	Waterfalls	1995	Group	
3	TLC	Creep	1995	Group	
4	Seal	Kiss From A Rose	1995	Solo	
5	Boyz II Men	On Bended Knee	1995	Group	
6	Real McCoy	Another Night	1995	Solo	
7	Mariah Carey	Fantasy	1995	Solo	
8	Madonna	Take A Bow	1995	Solo	
9	Monica	Don’t Take It Personal (Just One Of Dem Days)	1995	Solo	
10	Montell Jordan	This Is How We Do It	1995	Solo	
1	Los Del Rio	Macarena (Bayside Boys Mix)	1996	Group	
2	Mariah Carey and Boyz II Men	One Sweet Day	1996	Group	
3	Celine Dion	Because You Loved Me	1996	Solo	
4	Tony Rich Project	Nobody Knows	1996	Solo	
5	Mariah Carey	Always Be My Baby	1996	Solo	
6	Tracy Chapman	Give Me One Reason	1996	Solo	
