Ranking	Artist	Song Title	Year	Group / Solos	
4	Iggy Azalea	Fancy	2014	Solo	
5	OneRepublic	Counting Stars	2014	Group	
6	Jason Derulo	Talk Dirty	2014	Solo	
7	MAGIC!	Rude	2014	Group	
8	Meghan Trainor	All About That Bass	2014	Solo	
9	Ariana Grande	Problem	2014	Solo	
10	Sam Smith	Stay With Me	2014	Solo	
1	Mark Ronson	Uptown Funk!	2015	Solo	
2	Ed Sheeran	Thinking Out Loud	2015	Solo	
3	Wiz Khalifa	See You Again	2015	Solo	
4	Fetty Wap	Trap Queen	2015	Solo	
5	Maroon 5	Sugar	2015	Group	
6	Walk The Moon	Shut Up and Dance	2015	Group	
7	Taylor Swift	Blank Space	2015	Solo	
8	Silento	Watch Me	2015	Solo	
9	Weeknd	Earned It (Fifty Shades Of Grey)	2015	Solo	
10	Weeknd	The Hills	2015	Solo	
1	Justin Bieber	Love Yourself	2016	Solo	
2	Justin Bieber	Sorry	2016	Solo	
3	Drake	One Dance	2016	Solo	
4	Rihanna	Work	2016	Solo	
5	twenty one pilots	Stressed Out	2016	Group	
6	Desiigner	Panda	2016	Solo	
7	Adele	Hello	2016	Solo	
8	Chainsmokers	Don’t Let Me Down	2016	Group	
9	Justin Timberlake	Can’t Stop The Feeling!	2016	Solo	
10	Chainsmokers	Closer	2016	Group	
1	Ed Sheeran	Shape Of You	2017	Solo	
2	Luis Fonsi & Daddy Yankee	Despacito	2017	Group	
3	Bruno Mars	That’s What I Like	2017	Solo	
4	Kendrick Lamar	Humble.	2017	Solo	
5	The Chainsmokers	Something Just Like This	2017	Group	
6	Migos	Bad And Boujee	2017	Group	
7	The Chainsmokers	Closer	2017	Group	
8	Sam Hunt	Body Like A Back Road	2017	Solo	
9	Imagine Dragons	Believer	2017	Group	
10	Post Malone	Congratulations	2017	Solo	
