Artist/	Artist	Song Title	Group / Solo Artists	Year	Ranking	Hits by Artist Since 1960	One Hit Wonder?	Uniqueness/Variety of Lyrics
Simon and Garfunkel/	Simon and Garfunkel	Mrs. Robinson	Group	1968	9			
Archie Bell and The Drells/	Archie Bell and The Drells	Tighten Up	Group	1968	10			
Archies/	Archies	Sugar, Sugar	Group	1969	1			
Fifth Dimension/	Fifth Dimension	Aquarius / Let The Sunshine In	Group	1969	2			
Temptations/	Temptations	I Can’t Get Next To You	Group	1969	3			
Rolling Stones/	Rolling Stones	Honky Tonk Women	Group	1969	4			
Sly and The Family Stone/	Sly and The Family Stone	Everyday People	Group	1969	5			
Tommy Roe/	Tommy Roe	Dizzy	Solo	1969	6			
Sly and The Family Stone/	Sly and The Family Stone	Hot Fun In The Summertime	Group	1969	7			
Tom Jones/	Tom Jones	I’ll Never Fall In Love Again	Solo	1969	8			
Foundations/	Foundations	Build Me Up Buttercup	Group	1969	9			
Tommy James and The Shondells/	Tommy James and The Shondells	Crimson And Clover	Group	1969	10			
Simon and Garfunkel/	Simon and Garfunkel	Bridge Over Troubled Water	Group	1970	1			
Carpenters/	Carpenters	(They Long To Be) Close To You	Group	1970	2			
Guess Who/	Guess Who	American Woman / No Sugar Tonight	Group	1970	3			
B.J. Thomas/	B.J. Thomas	Raindrops Keep Fallin’ On My Head	Solo	1970	4			
Edwin Starr/	Edwin Starr	War	Solo	1970	5			
Diana Ross/	Diana Ross	Ain’t No Mountain High Enough	Solo	1970	6			
Jackson 5/	Jackson 5	I’ll Be There	Group	1970	7			
Rare Earth/	Rare Earth	Get Ready	Group	1970	8			
Beatles/	Beatles	Let It Be	Group	1970	9			
Freda Payne/	Freda Payne	Band Of Gold	Solo	1970	10			
Three Dog Night/	Three Dog Night	Joy To The World	Group	1971	1			
Rod Stewart/	Rod Stewart	Maggie May / (Find A) Reason To Believe	Solo	1971	2			
Carole King/	Carole King	It’s Too Late / I Feel The Earth Move	Solo	1971	3			
Osmonds/	Osmonds	One Bad Apple	Group	1971	4			
Bee Gees/	Bee Gees	How Can You Mend A Broken Heart	Group	1971	5			
Raiders/	Raiders	Indian Reservation	Group	1971	6			
Donny Osmond/	Donny Osmond	Go Away Little Girl	Solo	1971	7			
John Denver/	John Denver	Take Me Home, Country Roads	Solo	1971	8			
Temptations/	Temptations	Just My Imagination (Running Away With Me)	Group	1971	9			
Dawn/	Dawn	Knock Three Times	Group	1971	10			
Roberta Flack/	Roberta Flack	The First Time Ever I Saw Your Face	Solo	1972	1			
Gilbert O’Sullivan/	Gilbert O’Sullivan	Alone Again (Naturally)	Solo	1972	2			
Don McLean/	Don McLean	American Pie	Solo	1972	3			
Nilsson/	Nilsson	Without You	Solo	1972	4			
Sammy Davis Jr./	Sammy Davis Jr.	Candy Man	Solo	1972	5			
Joe Tex/	Joe Tex	I Gotcha	Solo	1972	6			
Bill Withers/	Bill Withers	Lean On Me	Solo	1972	7			
Mac Davis/	Mac Davis	Baby Don’t Get Hooked On Me	Solo	1972	8			
Melanie/	Melanie	Brand New Key	Solo	1972	9			
Wayne Newton/	Wayne Newton	Daddy Dont You Walk So Fast	Solo	1972	10			
Tony Orlando and Dawn/	Tony Orlando and Dawn	Tie A Yellow Ribbon ‘Round The Ole Oak Tree	Group	1973	1			
Jim Croce/	Jim Croce	Bad Bad Leroy Brown	Solo	1973	2			
Roberta Flack/	Roberta Flack	Killing Me Softly With His Song	Solo	1973	3			
Marvin Gaye/	Marvin Gaye	Let’s Get It On	Solo	1973	4			
Paul McCartney and Wings/	Paul McCartney and Wings	My Love	Group	1973	5			
Kris Kristofferson/	Kris Kristofferson	Why Me	Solo	1973	6			
Elton John/	Elton John	Crocodile Rock	Solo	1973	7			
Billy Preston/	Billy Preston	Will It Go Round In Circles	Solo	1973	8			
Carly Simon/	Carly Simon	You’re So Vain	Solo	1973	9			
Diana Ross/	Diana Ross	Touch Me In The Morning	Solo	1973	10			
Barbra Streisand/	Barbra Streisand	The Way We Were	Solo	1974	1			
Terry Jacks/	Terry Jacks	Seasons In The Sun	Solo	1974	2			
Love Unlimited Orchestra/	Love Unlimited Orchestra	Love’s Theme	Group	1974	3			
Redbone/	Redbone	Come And Get Your Love	Group	1974	4			
Jackson 5/	Jackson 5	Dancing Machine	Group	1974	5			
Grand Funk Railroad/	Grand Funk Railroad	The Loco-Motion	Group	1974	6			
MFSB/	MFSB	TSOP	Group	1974	7			
Ray Stevens/	Ray Stevens	The Streak	Solo	1974	8			
Elton John/	Elton John	Bennie And The Jets	Solo	1974	9			
Mac Davis/	Mac Davis	One Hell Of A Woman	Solo	1974	10			
Captain and Tennille/	Captain and Tennille	Love Will Keep Us Together	Group	1975	1			
Glen Campbell/	Glen Campbell	Rhinestone Cowboy	Solo	1975	2			
Elton John/	Elton John	Philadelphia Freedom	Solo	1975	3			
Freddy Fender/	Freddy Fender	Before The Next Teardrop Falls	Solo	1975	4			
Frankie Valli/	Frankie Valli	My Eyes Adored You	Group	1975	5			
Earth, Wind and Fire/	Earth, Wind and Fire	Shining Star	Group	1975	6			
David Bowie/	David Bowie	Fame	Solo	1975	7			
Neil Sedaka/	Neil Sedaka	Laughter In The Rain	Solo	1975	8			
Eagles/	Eagles	One Of These Nights	Group	1975	9			
John Denver/	John Denver	Thank God I’m A Country Boy	Solo	1975	10			
Wings/	Wings	Silly Love Songs	Group	1976	1			
Elton John and Kiki Dee/	Elton John and Kiki Dee	Don’t Go Breaking My Heart	Group	1976	2			
Johnnie Taylor/	Johnnie Taylor	Disco Lady	Solo	1976	3			
Four Seasons/	Four Seasons	December, 1963 (Oh, What A Night)	Group	1976	4			
Wild Cherry/	Wild Cherry	Play That Funky Music	Group	1976	5			
Manhattans/	Manhattans	Kiss And Say Goodbye	Group	1976	6			
The Miracles/	The Miracles	Love Machine (Part 1)	Group	1976	7			
Paul Simon/	Paul Simon	50 Ways To Leave Your Lover	Solo	1976	8			
Gary Wright/	Gary Wright	Love Is Alive	Solo	1976	9			
Walter Murphy and The Big Apple Band/	Walter Murphy and The Big Apple Band	A Fifth Of Beethoven	Group	1976	10			
Rod Stewart/	Rod Stewart	Tonight’s The Night (Gonna Be Alright)	Solo	1977	1			
Andy Gibb/	Andy Gibb	I Just Want To Be Your Everything	Solo	1977	2			
Emotions/	Emotions	Best Of My Love	Group	1977	3			
Barbra Streisand/	Barbra Streisand	Love Theme From “A Star Is Born”	Solo	1977	4			
Hot/	Hot	Angel In Your Arms	Group	1977	5			
